Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,GEOID,latitude,longitude
47149041500,Rutherford County,Tennessee,TN,4.75,-2.105,Urban,2966,35.7,,47149041500,35.8484394,-86.3622605
45077011202,Pickens County,South Carolina,SC,4.413,-1.99,Urban,5694,48.6,84250.0,45077011202,34.646482,-82.8300268
45013001000,Beaufort County,South Carolina,SC,4.319,-1.959,Urban,4469,1.1,52721.0,45013001000,32.3175972,-80.6822133
26107981300,Mecosta County,Michigan,MI,4.235,-1.952,Urban,2216,100.0,,26107981300,43.6862822,-85.4805335
21227010400,Warren County,Kentucky,KY,4.216,-1.673,Urban,4822,48.3,135000.0,21227010400,36.9840917,-86.4557721
26125192800,Oakland County,Michigan,MI,4.194,-1.921,Urban,2200,27.7,96563.0,26125192800,42.6686933,-83.2069003
28071950301,Lafayette County,Mississippi,MS,4.189,-1.485,Urban,5801,60.8,34728.0,28071950301,34.3618445,-89.5462135
48451001500,Tom Green County,Texas,TX,4.139,-1.932,Urban,2249,0.0,44722.0,48451001500,31.4318307,-100.4045385
26161402200,Washtenaw County,Michigan,MI,4.083,-1.841,Urban,4749,64.7,39500.0,26161402200,42.2888623,-83.7160474
18003980001,Allen County,Indiana,IN,4.048,-1.816,Urban,664,43.8,,18003980001,41.1180614,-85.1101678
22115950703,Vernon Parish,Louisiana,LA,4.026,-1.528,Urban,2864,4.9,36188.0,22115950703,31.0996085,-93.2020875
6085511608,Santa Clara County,California,CA,4.012,-2.352,Urban,2687,29.3,,06085511608,37.4292567,-122.1772178
21151010500,Madison County,Kentucky,KY,3.994,-1.57,Urban,4182,69.0,,21151010500,37.7377246,-84.2975066
18157005500,Tippecanoe County,Indiana,IN,3.987,-1.72,Urban,4486,78.2,6932.0,18157005500,40.4182759,-86.9121404
45019003200,Charleston County,South Carolina,SC,3.971,-1.749,Urban,871,9.5,47857.0,45019003200,32.8989988,-80.0497394
36109000400,Tompkins County,New York,NY,3.97,-2.093,Urban,4162,30.4,41563.0,36109000400,42.4571996,-76.4587153
18105000201,Monroe County,Indiana,IN,3.967,-1.728,Urban,6924,67.1,20156.0,18105000201,39.1790308,-86.5158924
48453000601,Travis County,Texas,TX,3.942,-1.814,Urban,9207,65.3,45156.0,48453000601,30.2874117,-97.7380441
29101980000,Johnson County,Missouri,MO,3.914,-1.728,Urban,1410,5.6,48199.0,29101980000,38.733116,-93.5531578
45015020725,Berkeley County,South Carolina,SC,3.897,-1.706,Urban,1055,6.6,45795.0,45015020725,32.9689219,-79.9853268
36109001200,Tompkins County,New York,NY,3.877,-2.038,Urban,3372,50.7,,36109001200,42.4217242,-76.4921665
18157005400,Tippecanoe County,Indiana,IN,3.866,-1.648,Urban,6310,76.1,,18157005400,40.4265027,-86.9095857
37133000800,Onslow County,North Carolina,NC,3.861,-1.815,Urban,1121,5.0,43005.0,37133000800,34.7280872,-77.3391348
39095010400,Lucas County,Ohio,OH,3.836,-1.415,Urban,3981,58.2,,39095010400,41.6580314,-83.6150459
39009973901,Athens County,Ohio,OH,3.806,-1.43,Urban,6462,81.3,,39009973901,39.3236725,-82.0970187
29169470389,Pulaski County,Missouri,MO,3.795,-1.631,Urban,8245,7.7,44226.0,29169470389,37.7562341,-92.1291409
26077001504,Kalamazoo County,Michigan,MI,3.775,-1.69,Urban,5206,49.3,118906.0,26077001504,42.2833006,-85.6114233
25015820600,Hampshire County,Massachusetts,MA,3.769,-2.286,Urban,1681,26.6,,25015820600,42.3712298,-72.5103072
37051003407,Cumberland County,North Carolina,NC,3.762,-1.787,Urban,2316,13.8,50417.0,37051003407,35.1219065,-78.9826343
51810040000,Virginia Beach city,Virginia,VA,3.75,-1.734,Urban,3976,6.7,63224.0,51810040000,36.9153965,-76.1630264
44009051400,Washington County,Rhode Island,RI,3.745,-2.033,Urban,5677,46.1,,44009051400,41.4921949,-71.5273227
6087100400,Santa Cruz County,California,CA,3.731,-2.183,Urban,7331,27.6,51500.0,06087100400,36.9911069,-122.0590223
39173021800,Wood County,Ohio,OH,3.659,-1.279,Urban,5215,61.0,,39173021800,41.379731,-83.6295647
37049961201,Craven County,North Carolina,NC,3.655,-1.724,Urban,4095,8.8,40893.0,37049961201,34.9371448,-76.9171446
37133001000,Onslow County,North Carolina,NC,3.655,-1.691,Urban,4455,19.8,39688.0,37133001000,34.711011,-77.4502568
40119010400,Payne County,Oklahoma,OK,3.648,-1.339,Urban,6372,59.7,25813.0,40119010400,36.1259719,-97.0757226
29019002200,Boone County,Missouri,MO,3.636,-1.594,Urban,6753,57.9,34583.0,29019002200,38.9379959,-92.3211071
36029009110,Erie County,New York,NY,3.633,-1.922,Urban,5737,71.4,,36029009110,43.0028095,-78.7816585
6095252802,Solano County,California,CA,3.595,-2.099,Urban,1359,11.5,56953.0,06095252802,38.2715815,-121.9466635
26161415200,Washtenaw County,Michigan,MI,3.592,-1.547,Urban,1746,12.1,60893.0,26161415200,42.2183889,-83.6749883
20161000303,Riley County,Kansas,KS,3.59,-1.58,Urban,2642,58.9,37639.0,20161000303,39.193927,-96.5903787
18157010300,Tippecanoe County,Indiana,IN,3.586,-1.481,Urban,3365,82.0,,18157010300,40.4351778,-86.9253803
20161001002,Riley County,Kansas,KS,3.583,-1.576,Urban,8445,4.9,43038.0,20161001002,39.1114347,-96.7805555
37133000900,Onslow County,North Carolina,NC,3.579,-1.646,Urban,6120,8.8,34905.0,37133000900,34.7348039,-77.39805
4013061100,Maricopa County,Arizona,AZ,3.573,-1.908,Urban,3436,5.7,52935.0,04013061100,33.5360482,-112.3733796
36055015301,Monroe County,New York,NY,3.559,-1.869,Urban,2919,29.7,114375.0,36055015301,43.204848,-77.9609087
18141011202,St. Joseph County,Indiana,IN,3.55,-1.465,Urban,8050,50.4,51250.0,18141011202,41.7014028,-86.2479778
18035000902,Delaware County,Indiana,IN,3.542,-1.501,Urban,6863,78.9,,18035000902,40.2025512,-85.4051261
39017010104,Butler County,Ohio,OH,3.537,-1.267,Urban,5265,87.3,,39017010104,39.5070402,-84.7345237
54061012000,Monongalia County,West Virginia,WV,3.527,-0.902,Urban,5471,20.0,103359.0,54061012000,39.6569636,-79.9675412
36013035902,Chautauqua County,New York,NY,3.525,-1.864,Urban,2770,42.6,,36013035902,42.4524985,-79.339692
1081040604,Lee County,Alabama,AL,3.518,-1.105,Urban,5146,52.8,44063.0,01081040604,32.5690428,-85.5297175
46093020200,Meade County,South Dakota,SD,3.482,-1.746,Urban,1192,14.6,53958.0,46093020200,44.1594074,-103.1009594
37191000500,Wayne County,North Carolina,NC,3.473,-1.56,Urban,2325,7.9,51651.0,37191000500,35.3479164,-77.9625752
17097863003,Lake County,Illinois,IL,3.464,-1.714,Urban,7829,50.6,55795.0,17097863003,42.313954,-87.8308368
13039010500,Camden County,Georgia,GA,3.437,-1.582,Urban,2757,17.3,51094.0,13039010500,30.8023621,-81.5278537
13089022402,DeKalb County,Georgia,GA,3.435,-1.562,Urban,5823,40.0,124375.0,13089022402,33.7981091,-84.3224275
26139024500,Ottawa County,Michigan,MI,3.429,-1.459,Urban,9512,75.3,,26139024500,42.9679066,-85.8978952
39009973902,Athens County,Ohio,OH,3.426,-1.203,Urban,3494,77.4,43000.0,39009973902,39.3317087,-82.0925802
22033004014,East Baton Rouge Parish,Louisiana,LA,3.424,-1.201,Urban,10391,60.1,,22033004014,30.3659897,-91.2030341
4013318700,Maricopa County,Arizona,AZ,3.414,-1.813,Urban,2675,42.5,125625.0,04013318700,33.4287353,-111.9349179
22115950702,Vernon Parish,Louisiana,LA,3.414,-1.163,Urban,3530,12.2,42743.0,22115950702,31.0431846,-93.2274727
45013000300,Beaufort County,South Carolina,SC,3.408,-1.415,Urban,4850,6.4,44112.0,45013000300,32.4676898,-80.7840865
13059000402,Clarke County,Georgia,GA,3.404,-1.554,Urban,7090,91.2,,13059000402,33.9481338,-83.3754635
48041002012,Brazos County,Texas,TX,3.37,-1.632,Urban,6466,71.9,,48041002012,30.5988888,-96.3467825
48141010102,El Paso County,Texas,TX,3.346,-1.579,Urban,4799,20.4,48326.0,48141010102,31.8166019,-106.418964
36055013103,Monroe County,New York,NY,3.337,-1.736,Urban,7367,37.6,118654.0,36055013103,43.0798676,-77.6788655
13059150400,Clarke County,Georgia,GA,3.336,-1.514,Urban,4934,64.6,36974.0,13059150400,33.9069629,-83.3695606
21111005300,Jefferson County,Kentucky,KY,3.333,-1.191,Urban,2180,50.5,26618.0,21111005300,38.2181298,-85.7574304
38101010900,Ward County,North Dakota,ND,3.332,-1.581,Urban,5521,7.3,53778.0,38101010900,48.4190017,-101.3365027
39057200104,Greene County,Ohio,OH,3.33,-1.128,Urban,6615,46.5,48792.0,39057200104,39.8295329,-84.0886394
40027201203,Cleveland County,Oklahoma,OK,3.326,-1.182,Urban,5396,28.1,67621.0,40027201203,35.1768253,-97.4335011
37183052301,Wake County,North Carolina,NC,3.315,-1.469,Urban,6024,34.4,54728.0,37183052301,35.7571349,-78.7042883
9013881200,Tolland County,Connecticut,CT,3.313,-1.829,Urban,10289,49.9,146563.0,09013881200,41.8089228,-72.2515869
38017000300,Cass County,North Dakota,ND,3.302,-1.596,Urban,5013,35.3,131406.0,38017000300,46.9307423,-96.8236083
54061010600,Monongalia County,West Virginia,WV,3.302,-0.768,Urban,6179,37.4,91842.0,54061010600,39.6579885,-79.9433578
5143010701,Washington County,Arkansas,AR,3.298,-1.092,Urban,6604,43.8,26636.0,05143010701,36.0948338,-94.1706722
19169000500,Story County,Iowa,IA,3.288,-1.592,Urban,3105,69.9,26250.0,19169000500,42.0352687,-93.6397633
35035000601,Otero County,New Mexico,NM,3.284,-1.608,Urban,3113,10.8,46559.0,35035000601,32.6597228,-106.1729054
13179010103,Liberty County,Georgia,GA,3.273,-1.43,Urban,866,4.1,38494.0,13179010103,31.8763929,-81.5986689
48041001701,Brazos County,Texas,TX,3.259,-1.565,Urban,5762,45.8,46607.0,48041001701,30.618071,-96.30657
48441012900,Taylor County,Texas,TX,3.257,-1.41,Urban,2242,9.6,52656.0,48441012900,32.4197423,-99.8205423
18157010500,Tippecanoe County,Indiana,IN,3.253,-1.281,Urban,2021,43.5,26438.0,18157010500,40.4209118,-86.9266399
22115950704,Vernon Parish,Louisiana,LA,3.24,-1.059,Urban,3571,25.5,46353.0,22115950704,31.0644808,-93.2276371
34005982111,Burlington County,New Jersey,NJ,3.233,-1.757,Urban,823,4.6,65625.0,34005982111,40.020342,-74.5902378
4027980006,Yuma County,Arizona,AZ,3.233,-1.699,Urban,3172,12.1,40279.0,04027980006,32.6458708,-114.6012703
48029980003,Bexar County,Texas,TX,3.232,-1.553,Urban,1802,10.9,55208.0,48029980003,29.3724905,-98.666017
51710000902,Norfolk city,Virginia,VA,3.222,-1.457,Urban,3541,7.2,44205.0,51710000902,36.9372397,-76.3092149
25015820400,Hampshire County,Massachusetts,MA,3.22,-1.958,Urban,12079,65.5,89500.0,25015820400,42.3888737,-72.526061
51750010102,Radford city,Virginia,VA,3.211,-1.435,Urban,5672,49.2,100446.0,51750010102,37.1399962,-80.5184643
25025000502,Suffolk County,Massachusetts,MA,3.196,-1.94,Urban,6303,23.4,118264.0,25025000502,42.3315048,-71.1574973
40031002403,Comanche County,Oklahoma,OK,3.19,-1.099,Urban,4308,26.6,38250.0,40031002403,34.7019859,-98.3226148
1015002101,Calhoun County,Alabama,AL,3.177,-0.926,Urban,3992,47.6,52500.0,01015002101,33.8370579,-85.772778
51540000600,Charlottesville city,Virginia,VA,3.176,-1.496,Urban,4351,63.2,25875.0,51540000600,38.0284141,-78.5109364
19013002303,Black Hawk County,Iowa,IA,3.169,-1.581,Urban,5142,57.2,63958.0,19013002303,42.5149832,-92.4607823
