Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,City,City_State
47149041500,Rutherford County,Tennessee,TN,4.75,-2.105,Urban,2966,35.7,,Rutherford,"Rutherford, TN"
45077011202,Pickens County,South Carolina,SC,4.413,-1.99,Urban,5694,48.6,84250.0,Pickens,"Pickens, SC"
45013001000,Beaufort County,South Carolina,SC,4.319,-1.959,Urban,4469,1.1,52721.0,Beaufort,"Beaufort, SC"
26107981300,Mecosta County,Michigan,MI,4.235,-1.952,Urban,2216,100.0,,Mecosta,"Mecosta, MI"
21227010400,Warren County,Kentucky,KY,4.216,-1.673,Urban,4822,48.3,135000.0,Warren,"Warren, KY"
26125192800,Oakland County,Michigan,MI,4.194,-1.921,Urban,2200,27.7,96563.0,Oakland,"Oakland, MI"
28071950301,Lafayette County,Mississippi,MS,4.189,-1.485,Urban,5801,60.8,34728.0,Oxford,"Oxford, MS"
48451001500,Tom Green County,Texas,TX,4.139,-1.932,Urban,2249,0.0,44722.0,Tom Green,"Tom Green, TX"
26161402200,Washtenaw County,Michigan,MI,4.083,-1.841,Urban,4749,64.7,39500.0,Ann Arbor,"Ann Arbor, MI"
18003980001,Allen County,Indiana,IN,4.048,-1.816,Urban,664,43.8,,Allen,"Allen, IN"
22115950703,Vernon Parish,Louisiana,LA,4.026,-1.528,Urban,2864,4.9,36188.0,Vernon Parish,"Vernon Parish, LA"
6085511608,Santa Clara County,California,CA,4.012,-2.352,Urban,2687,29.3,,Santa Clara,"Santa Clara, CA"
21151010500,Madison County,Kentucky,KY,3.994,-1.57,Urban,4182,69.0,,Madison,"Madison, KY"
18157005500,Tippecanoe County,Indiana,IN,3.987,-1.72,Urban,4486,78.2,6932.0,Lafayette/West Lafayette,"Lafayette/West Lafayette, IN"
45019003200,Charleston County,South Carolina,SC,3.971,-1.749,Urban,871,9.5,47857.0,Charleston,"Charleston, SC"
36109000400,Tompkins County,New York,NY,3.97,-2.093,Urban,4162,30.4,41563.0,Ithaca,"Ithaca, NY"
18105000201,Monroe County,Indiana,IN,3.967,-1.728,Urban,6924,67.1,20156.0,Bloomington,"Bloomington, IN"
48453000601,Travis County,Texas,TX,3.942,-1.814,Urban,9207,65.3,45156.0,Austin,"Austin, TX"
29101980000,Johnson County,Missouri,MO,3.914,-1.728,Urban,1410,5.6,48199.0,Johnson,"Johnson, MO"
45015020725,Berkeley County,South Carolina,SC,3.897,-1.706,Urban,1055,6.6,45795.0,Berkeley,"Berkeley, SC"
36109001200,Tompkins County,New York,NY,3.877,-2.038,Urban,3372,50.7,,Ithaca,"Ithaca, NY"
18157005400,Tippecanoe County,Indiana,IN,3.866,-1.648,Urban,6310,76.1,,Lafayette/West Lafayette,"Lafayette/West Lafayette, IN"
37133000800,Onslow County,North Carolina,NC,3.861,-1.815,Urban,1121,5.0,43005.0,Jacksonville,"Jacksonville, NC"
39095010400,Lucas County,Ohio,OH,3.836,-1.415,Urban,3981,58.2,,Lucas,"Lucas, OH"
39009973901,Athens County,Ohio,OH,3.806,-1.43,Urban,6462,81.3,,Athens,"Athens, OH"
29169470389,Pulaski County,Missouri,MO,3.795,-1.631,Urban,8245,7.7,44226.0,Pulaski,"Pulaski, MO"
26077001504,Kalamazoo County,Michigan,MI,3.775,-1.69,Urban,5206,49.3,118906.0,Kalamazoo,"Kalamazoo, MI"
25015820600,Hampshire County,Massachusetts,MA,3.769,-2.286,Urban,1681,26.6,,Hampshire,"Hampshire, MA"
37051003407,Cumberland County,North Carolina,NC,3.762,-1.787,Urban,2316,13.8,50417.0,Fayetteville,"Fayetteville, NC"
51810040000,Virginia Beach city,Virginia,VA,3.75,-1.734,Urban,3976,6.7,63224.0,Virginia Beach,"Virginia Beach, VA"
44009051400,Washington County,Rhode Island,RI,3.745,-2.033,Urban,5677,46.1,,Washington,"Washington, RI"
6087100400,Santa Cruz County,California,CA,3.731,-2.183,Urban,7331,27.6,51500.0,Santa Cruz,"Santa Cruz, CA"
39173021800,Wood County,Ohio,OH,3.659,-1.279,Urban,5215,61.0,,Wood,"Wood, OH"
37049961201,Craven County,North Carolina,NC,3.655,-1.724,Urban,4095,8.8,40893.0,Craven,"Craven, NC"
37133001000,Onslow County,North Carolina,NC,3.655,-1.691,Urban,4455,19.8,39688.0,Jacksonville,"Jacksonville, NC"
40119010400,Payne County,Oklahoma,OK,3.648,-1.339,Urban,6372,59.7,25813.0,Payne,"Payne, OK"
29019002200,Boone County,Missouri,MO,3.636,-1.594,Urban,6753,57.9,34583.0,Boone,"Boone, MO"
36029009110,Erie County,New York,NY,3.633,-1.922,Urban,5737,71.4,,Erie,"Erie, NY"
