TractFIPS,StateAbbr,obesity,diabetes,hypertension,chd,physical_inactivity,burden
04005000500,AZ,26.5,7.8,22.5,4.2,,-0.824464
06013308001,CA,29.8,11.5,29.1,5.7,,-0.187618
25021418003,MA,25.5,6.3,21.3,3.4,,-1.052979
18081611100,IN,42.4,12.6,38.5,7.1,,0.640794
18137968700,IN,39.8,11.4,36.0,6.7,,0.390286
36061008800,NY,15.1,5.3,19.3,3.1,,-1.489297
17113000501,IL,32.6,7.6,24.2,4.8,,-0.549984
36061006000,NY,14.7,6.2,24.9,5.0,,-1.091317
37147000301,NC,34.8,8.5,30.8,4.9,,-0.245761
45075011800,SC,40.4,16.1,44.2,7.4,,0.961577
48287000400,TX,38.9,13.8,36.8,7.1,,0.558544
17113001600,IL,42.4,11.8,33.3,5.9,,0.323810
21067004001,KY,38.5,9.6,32.2,4.6,,-0.075798
27067780600,MN,35.0,8.9,30.4,5.5,,-0.164735
42085030900,PA,46.4,16.6,43.7,10.2,,1.448235
48113007818,TX,39.7,10.8,28.8,4.4,,-0.093562
05133080200,AR,41.1,12.1,38.6,7.3,,0.601673
06013308002,CA,27.3,9.3,25.1,3.9,,-0.682113
06071001600,CA,44.1,13.5,27.2,5.0,,0.196204
34005700603,NJ,33.6,8.7,30.6,5.3,,-0.231270
36081058000,NY,36.4,14.8,37.7,5.2,,0.359972
39035112400,OH,44.8,21.6,49.9,8.2,,1.624938
45045002506,SC,30.9,10.0,34.9,6.2,,-0.021614
49049002702,UT,28.4,4.5,14.4,1.8,,-1.431642
06037532101,CA,33.7,12.3,24.0,3.9,,-0.370811
36029009600,NY,29.7,10.9,36.8,7.9,,0.229454
39049005610,OH,46.6,16.9,38.7,7.1,,0.995192
49035113410,UT,34.5,10.9,29.4,5.2,,-0.132300
20111000800,KS,39.9,10.8,35.3,6.9,,0.363354
24017850901,MD,45.8,12.9,39.5,4.9,,0.542374
04015951502,AZ,33.7,14.5,40.3,9.8,,0.838277
06045011102,CA,30.3,11.3,33.9,7.0,,0.089874
54089000500,WV,45.3,18.3,48.0,11.2,,1.735481
27047180100,MN,35.9,9.6,32.1,6.2,,0.021212
06067009007,CA,36.3,10.5,27.2,4.3,,-0.261195
49057200300,UT,35.6,8.9,25.6,4.3,,-0.410874
06029003807,CA,32.2,8.3,26.6,4.4,,-0.500795
39143960900,OH,41.2,11.8,35.4,6.9,,0.456422
06037197300,CA,25.3,8.8,21.7,3.2,,-0.935679
06111007514,CA,24.0,7.9,27.9,4.5,,-0.707836
08059011725,CO,23.9,6.8,25.1,4.2,,-0.879574
39135440100,OH,40.3,11.8,36.3,7.2,,0.488374
42045401401,PA,31.2,6.7,25.6,4.0,,-0.685732
48339691602,TX,36.2,10.0,29.2,4.7,,-0.191943
01057020000,AL,37.5,13.9,42.8,8.6,,0.853128
17031390700,IL,29.3,10.7,31.5,4.5,,-0.308167
23011015500,ME,34.6,9.9,31.8,6.5,,0.024595
54003971900,WV,37.6,9.7,36.4,5.6,,0.128861
05083950500,AR,42.9,15.0,43.8,10.1,,1.255418
17005951200,IL,37.3,11.3,36.1,6.9,,0.338507
26115833300,MI,39.1,9.6,35.5,6.2,,0.206182
35035000306,NM,31.0,11.3,35.4,6.8,,0.129605
18057111003,IN,28.0,9.5,33.7,5.5,,-0.239736
17031823705,IL,30.8,9.8,28.9,5.9,,-0.233944
24510090700,MD,43.5,16.8,43.6,6.3,,0.950972
25017383101,MA,32.2,8.4,23.5,4.0,,-0.624738
37195000501,NC,29.4,10.6,36.7,7.0,,0.104545
47163043302,TN,38.7,13.7,39.3,7.8,,0.692722
55079050101,WI,33.3,8.4,32.3,4.8,,-0.262918
26121003600,MI,40.5,8.7,29.0,5.0,,-0.112469
39035120701,OH,47.5,23.6,51.0,9.2,,1.947296
40023967000,OK,39.1,14.2,42.7,8.2,,0.868381
42007601800,PA,34.5,10.0,34.5,6.8,,0.134459
45045001203,SC,19.9,2.5,11.8,1.6,,-1.873292
08001008537,CO,31.4,6.0,19.8,3.1,,-0.975795
40031002004,OK,42.2,9.8,35.5,4.6,,0.131266
44009050801,RI,28.8,9.6,31.5,6.7,,-0.142539
06037501200,CA,29.6,10.3,24.0,4.0,,-0.583097
34011010402,NJ,43.6,8.5,29.0,3.1,,-0.241290
06095252104,CA,26.4,8.4,25.1,3.6,,-0.788256
51810044807,VA,31.4,7.5,24.7,3.6,,-0.705636
54039000800,WV,45.5,18.3,46.0,9.4,,1.490526
28121020206,MS,33.7,8.9,33.7,4.8,,-0.186062
42013101100,PA,34.4,10.8,33.9,7.2,,0.201118
06059021810,CA,26.0,8.6,27.0,4.7,,-0.616970
06085503208,CA,23.9,9.9,21.9,3.5,,-0.878532
29510114300,MO,28.8,6.6,24.5,4.0,,-0.789619
42095014500,PA,36.4,11.4,31.0,5.7,,0.046859
27127750400,MN,37.2,10.5,32.9,7.2,,0.236781
10003014000,DE,34.6,9.6,29.8,4.7,,-0.242061
32003005842,NV,26.8,7.8,28.2,4.1,,-0.668840
36005028700,NY,27.4,10.6,26.6,4.9,,-0.459804
04013082026,AZ,31.2,6.9,20.8,3.0,,-0.916511
01117030305,AL,30.3,8.6,35.6,5.0,,-0.224168
17031150402,IL,28.9,8.3,24.5,4.5,,-0.641729
19153004501,IA,40.4,10.4,31.0,5.5,,0.085174
23011018000,ME,35.2,9.8,31.4,6.4,,0.014337
36111950900,NY,29.9,11.5,33.3,7.3,,0.105123
42079210100,PA,34.3,9.6,31.7,6.5,,-0.002713
45083021803,SC,33.4,10.8,31.2,5.0,,-0.140644
17163501200,IL,57.1,25.0,52.1,9.2,,2.324824
25009211100,MA,28.6,9.2,32.6,6.7,,-0.139099
17031710400,IL,42.7,17.3,42.5,6.3,,0.924516
22071007200,LA,42.6,18.8,42.5,6.7,,1.045204
25003900900,MA,31.0,8.2,28.2,5.3,,-0.398227
40131050702,OK,45.7,12.5,38.8,7.2,,0.748192
53063013800,WA,24.5,2.4,11.0,1.0,,-1.835423
06059075806,CA,29.0,9.9,26.8,5.0,,-0.435444
09001205200,CT,23.4,7.1,26.1,4.6,,-0.806633
13001950200,GA,42.8,16.7,44.8,7.3,,1.067478
15009000320,HI,24.7,7.4,25.4,5.2,,-0.708069
25017384002,MA,21.7,5.9,21.6,3.6,,-1.152111
29099700801,MO,36.9,9.8,33.9,6.1,,0.099294
47187050207,TN,28.1,7.5,29.0,3.5,,-0.690900
22105953200,LA,38.9,11.8,39.3,6.6,,0.466742
25023511302,MA,34.3,9.8,29.4,5.4,,-0.175056
29225470302,MO,42.0,14.4,38.3,8.5,,0.871906
48201432200,TX,33.8,9.3,28.2,4.3,,-0.368495
51165010200,VA,38.0,11.4,37.1,6.5,,0.348035
06107001005,CA,30.4,10.6,30.5,5.8,,-0.169048
36085027702,NY,31.8,11.9,31.0,5.5,,-0.078565
17031051200,IL,23.7,3.3,13.6,1.7,,-1.662058
17031020301,IL,25.6,11.1,33.5,8.0,,0.043263
42129800500,PA,31.1,10.6,36.5,7.7,,0.223124
01101002202,AL,46.7,22.4,52.1,7.7,,1.728308
06065030103,CA,38.6,12.3,27.3,5.2,,0.000576
39035119702,OH,47.6,21.5,48.4,7.9,,1.624897
48113006402,TX,39.6,13.4,28.6,5.2,,0.123734
13021011702,GA,45.9,21.4,51.0,8.6,,1.719308
13141480400,GA,45.7,19.8,50.1,7.9,,1.527295
41003001101,OR,23.8,3.7,13.5,2.2,,-1.586399
48439111102,TX,46.1,18.5,43.4,6.7,,1.153371
48303000900,TX,53.3,23.0,46.3,8.3,,1.851868
06019007002,CA,40.8,13.7,30.0,6.0,,0.299347
09009142604,CT,34.4,10.4,30.4,4.7,,-0.188361
53061051804,WA,29.0,6.7,21.5,2.8,,-0.991877
06037430803,CA,17.9,11.5,27.8,4.4,,-0.702091
06085507500,CA,15.4,9.7,27.4,4.6,,-0.858557
08059011724,CO,23.2,5.6,21.5,3.1,,-1.182596
36033950400,NY,38.7,12.4,36.0,6.9,,0.434211
39139000600,OH,49.5,17.2,40.2,7.8,,1.210942
09003514400,CT,35.2,9.6,29.8,4.8,,-0.214202
27053026909,MN,26.7,5.7,21.9,3.4,,-1.034379
45035010200,SC,48.2,19.0,45.5,8.1,,1.449659
48085031100,TX,33.2,10.7,35.8,6.0,,0.084264
