CensusTract,State,County,PCTGQTRS,GroupQuartersFlag
1003010500,Alabama,Baldwin County,11.61,0
1005950200,Alabama,Barbour County,40.43,0
1005950400,Alabama,Barbour County,30.68,0
1007010004,Alabama,Bibb County,24.57,0
1011952200,Alabama,Bullock County,23.8,0
1015000600,Alabama,Calhoun County,18.67,0
1015000800,Alabama,Calhoun County,19.07,0
1015002101,Alabama,Calhoun County,35.2,0
1039962500,Alabama,Covington County,10.5,0
1043965401,Alabama,Cullman County,10.94,0
1045020000,Alabama,Dale County,11.87,0
1051030100,Alabama,Elmore County,37.36,0
1051030600,Alabama,Elmore County,14.63,0
1053970200,Alabama,Escambia County,10.06,0
1053970400,Alabama,Escambia County,50.28,0
1055001200,Alabama,Etowah County,22.11,0
1069040600,Alabama,Houston County,11.29,0
1069041400,Alabama,Houston County,11.25,0
1073001600,Alabama,Jefferson County,17.73,0
1073002000,Alabama,Jefferson County,11.4,0
1073002700,Alabama,Jefferson County,42.03,0
1073003001,Alabama,Jefferson County,34.11,0
1073004500,Alabama,Jefferson County,46.21,0
1073010200,Alabama,Jefferson County,13.45,0
1073010704,Alabama,Jefferson County,37.63,0
1073012200,Alabama,Jefferson County,36.88,0
1077010100,Alabama,Lauderdale County,46.76,0
1077010400,Alabama,Lauderdale County,12.3,0
1081040700,Alabama,Lee County,83.93,1
1083020500,Alabama,Limestone County,10.2,0
1083020801,Alabama,Limestone County,29.16,0
1087231700,Alabama,Macon County,76.01,1
1089000202,Alabama,Madison County,47.99,0
1089001500,Alabama,Madison County,22.6,0
1089002200,Alabama,Madison County,10.09,0
1089003100,Alabama,Madison County,38.83,0
1089010622,Alabama,Madison County,11.46,0
1089011100,Alabama,Madison County,42.1,0
1093964400,Alabama,Marion County,11.12,0
1097000200,Alabama,Mobile County,30.51,0
1097001001,Alabama,Mobile County,17.25,0
1097001200,Alabama,Mobile County,38.89,0
1097003302,Alabama,Mobile County,20.84,0
1097003605,Alabama,Mobile County,100.0,1
1101000100,Alabama,Montgomery County,27.94,0
1101000200,Alabama,Montgomery County,48.85,0
1101000900,Alabama,Montgomery County,65.09,0
1101001000,Alabama,Montgomery County,11.69,0
