TractFIPS,StateAbbr,burden,resid,resilience_score,GEOID,LILATracts_1And10,County,State,PovertyRate,MedianFamilyIncome,Pop2010,Urban,latitude,longitude,Type
6037980033,CA,2.99507,2.968804,-4.970942,06037980033,1,Los Angeles County,California,100.0,,61,1,33.7443155,-118.2203101,Urban
17201002900,IL,3.263683,2.869173,-4.804121,17201002900,1,Winnebago County,Illinois,42.3,30398.0,1111,1,42.2737662,-89.0930578,Urban
47065001600,TN,3.470744,2.771146,-4.639984,47065001600,1,Hamilton County,Tennessee,65.7,10156.0,2481,1,35.0452807,-85.3223832,Urban
28047000100,MS,3.705754,2.698235,-4.517904,28047000100,1,Harrison County,Mississippi,81.7,,255,1,30.4007924,-88.86237,Urban
42049000100,PA,2.966613,2.528694,-4.234025,42049000100,1,Erie County,Pennsylvania,64.6,17875.0,1690,1,42.1261084,-80.0830208,Urban
36119984000,NY,2.660653,2.378375,-3.982332,36119984000,1,Westchester County,New York,10.1,44250.0,570,1,41.2329728,-73.9376072,Urban
13299950400,GA,2.904913,2.333524,-3.907234,13299950400,1,Ware County,Georgia,45.7,24485.0,1949,1,31.2249262,-82.360104,Urban
39061003600,OH,3.122063,2.259347,-3.783032,39061003600,1,Hamilton County,Ohio,62.2,17734.0,1451,1,39.1351507,-84.4857257,Urban
22017025200,LA,3.081779,2.243945,-3.757243,22017025200,1,Caddo Parish,Louisiana,48.0,45156.0,1127,1,32.499611,-93.7609137,Urban
18089011400,IN,2.845318,2.210397,-3.701071,18089011400,1,Lake County,Indiana,58.7,19457.0,1271,1,41.5823313,-87.3123773,Urban
45079010806,SC,2.839913,2.194247,-3.67403,45079010806,1,Richland County,South Carolina,85.2,,555,1,34.0911355,-80.9836596,Urban
17163502800,IL,2.570384,2.190258,-3.667351,17163502800,1,St. Clair County,Illinois,61.0,9616.0,2713,1,38.5680696,-90.1078837,Urban
20209040800,KS,2.727797,2.145528,-3.592454,20209040800,1,Wyandotte County,Kansas,26.5,36563.0,542,1,39.1299878,-94.6308769,Urban
13245001500,GA,2.694224,2.144175,-3.59019,13245001500,1,Richmond County,Georgia,16.1,48333.0,989,1,33.4548344,-81.9822433,Urban
17143000900,IL,2.474232,2.101985,-3.519546,17143000900,1,Peoria County,Illinois,74.4,12650.0,2550,1,40.6888034,-89.6017882,Urban
26049002000,MI,2.62053,2.066511,-3.46015,26049002000,1,Genesee County,Michigan,51.5,25074.0,1279,1,43.0535539,-83.6890667,Urban
18089010900,IN,2.694335,2.05924,-3.447974,18089010900,1,Lake County,Indiana,53.7,20563.0,977,1,41.592469,-87.3661155,Urban
13021010100,GA,2.521553,2.057953,-3.44582,13021010100,1,Bibb County,Georgia,47.4,28125.0,1657,1,32.8465487,-83.6454904,Urban
34029720102,NJ,2.227345,2.044833,-3.423852,34029720102,1,Ocean County,New Jersey,7.4,43553.0,3389,1,39.9576089,-74.3451671,Urban
20173000700,KS,2.596824,2.02841,-3.396353,20173000700,1,Sedgwick County,Kansas,41.5,31926.0,3200,1,37.721471,-97.3098724,Urban
36063020200,NY,2.273506,2.013009,-3.370566,36063020200,1,Niagara County,New York,58.7,14697.0,2262,1,43.1181782,-79.0429904,Urban
51740212100,VA,2.477984,1.998998,-3.347107,51740212100,1,Portsmouth city,Virginia,39.5,26087.0,1366,1,36.8258099,-76.3016128,Urban
13245011000,GA,2.544877,1.994724,-3.33995,13245011000,1,Richmond County,Georgia,43.8,33454.0,1668,1,33.4753038,-81.9743473,Urban
36067006101,NY,2.229641,1.967744,-3.294776,36067006101,1,Onondaga County,New York,38.8,32424.0,4096,1,43.0071933,-76.1414669,Urban
6065042740,CA,2.003808,1.967084,-3.29367,06065042740,1,Riverside County,California,9.4,55000.0,2017,1,33.7251033,-117.1977608,Urban
51730810700,VA,2.428348,1.953524,-3.270966,51730810700,1,Petersburg city,Virginia,33.0,45568.0,2223,1,37.2154713,-77.4048129,Urban
42003260900,PA,2.373196,1.952779,-3.269718,42003260900,1,Allegheny County,Pennsylvania,67.5,17750.0,1214,1,40.4776336,-80.0025962,Urban
17163502700,IL,2.332474,1.95246,-3.269183,17163502700,1,St. Clair County,Illinois,48.9,23385.0,1251,1,38.5794683,-90.1273292,Urban
39099800600,OH,2.821127,1.943642,-3.254419,39099800600,1,Mahoning County,Ohio,56.8,21205.0,1403,1,41.1079009,-80.6248963,Urban
20209040700,KS,2.523191,1.940789,-3.249642,20209040700,1,Wyandotte County,Kansas,33.6,37031.0,1766,1,39.1332537,-94.643678,Urban
6065047201,CA,1.976384,1.939674,-3.247775,06065047201,1,Riverside County,California,28.9,29265.0,1958,1,33.9177523,-116.4319169,Urban
51089010800,VA,2.162236,1.934758,-3.239543,51089010800,1,Henry County,Virginia,30.8,38962.0,2564,1,36.6702243,-79.9211405,Urban
1015000500,AL,2.886594,1.915622,-3.207503,01015000500,1,Calhoun County,Alabama,52.0,17339.0,1814,1,33.6626814,-85.8452392,Urban
22017020600,LA,2.734327,1.8965,-3.175484,22017020600,1,Caddo Parish,Louisiana,29.1,31667.0,947,1,32.5151339,-93.7660913,Urban
28083950200,MS,2.917084,1.895484,-3.173784,28083950200,1,Leflore County,Mississippi,69.7,14539.0,3030,1,33.6227264,-90.1848818,Urban
51730810600,VA,2.365266,1.890554,-3.165529,51730810600,1,Petersburg city,Virginia,39.0,30000.0,1884,1,37.214781,-77.414065,Urban
26049001100,MI,2.440349,1.88587,-3.157685,26049001100,1,Genesee County,Michigan,42.1,29550.0,2512,1,43.0387758,-83.6990608,Urban
13245010400,GA,2.430693,1.880477,-3.148656,13245010400,1,Richmond County,Georgia,58.3,15536.0,3645,1,33.4410247,-82.005638,Urban
22017023600,LA,2.692833,1.855075,-3.106124,22017023600,1,Caddo Parish,Louisiana,41.2,29470.0,2973,1,32.4605252,-93.8192668,Urban
48441012100,TX,2.384582,1.849081,-3.096086,48441012100,1,Taylor County,Texas,64.7,,468,1,32.4202211,-99.7182655,Urban
20209041100,KS,2.429353,1.846993,-3.09259,20209041100,1,Wyandotte County,Kansas,65.6,12875.0,1209,1,39.1219142,-94.6270273,Urban
26021002200,MI,2.388884,1.845305,-3.089764,26021002200,1,Berrien County,Michigan,60.1,21114.0,2682,1,42.1126657,-86.4185863,Urban
22035000300,LA,2.685181,1.840415,-3.081576,22035000300,1,East Carroll Parish,Louisiana,71.1,19531.0,2469,1,32.7959903,-91.1970282,Urban
22019000300,LA,2.67467,1.836136,-3.074412,22019000300,1,Calcasieu Parish,Louisiana,42.0,26333.0,1836,1,30.2607943,-93.2026879,Urban
18089011100,IN,2.470118,1.835043,-3.072582,18089011100,1,Lake County,Indiana,31.1,37230.0,4597,1,41.5788893,-87.3846677,Urban
47157007810,TN,2.569241,1.834442,-3.071576,47157007810,1,Shelby County,Tennessee,55.8,20256.0,2802,1,35.0921024,-90.0048728,Urban
48377950200,TX,2.341955,1.830804,-3.065483,48377950200,1,Presidio County,Texas,39.1,29821.0,5184,1,29.6262903,-104.1295422,Urban
4012020502,AZ,2.370719,1.823441,-3.053156,04012020502,1,La Paz County,Arizona,20.8,34494.0,4388,0,33.7430322,-114.2145624,Rural
51590000400,VA,2.228899,1.807918,-3.027164,51590000400,1,Danville city,Virginia,43.9,20478.0,3767,1,36.6105075,-79.3776383,Urban
22045030800,LA,2.65415,1.805506,-3.023125,22045030800,1,Iberia Parish,Louisiana,38.6,26410.0,2269,1,30.0106096,-91.8337105,Urban
39113003500,OH,2.687766,1.805149,-3.022528,39113003500,1,Montgomery County,Ohio,43.1,23513.0,2381,1,39.7389529,-84.208,Urban
39113004100,OH,2.686221,1.803423,-3.019637,39113004100,1,Montgomery County,Ohio,65.1,17586.0,2517,1,39.7396657,-84.2293846,Urban
13245010600,GA,2.352843,1.802648,-3.018339,13245010600,1,Richmond County,Georgia,44.9,25063.0,4317,1,33.4016882,-81.9620491,Urban
39099800400,OH,2.676712,1.798962,-3.012167,39099800400,1,Mahoning County,Ohio,18.2,46406.0,951,1,41.1208992,-80.6091369,Urban
6037403200,CA,1.820032,1.793962,-3.003796,06037403200,1,Los Angeles County,California,68.6,,391,1,34.0386337,-117.8126989,Urban
48227950300,TX,2.247089,1.793891,-3.003677,48227950300,1,Howard County,Texas,42.6,28542.0,2242,1,32.259385,-101.5002211,Urban
26163533400,MI,2.375148,1.776547,-2.974637,26163533400,1,Wayne County,Michigan,49.0,22528.0,3069,1,42.3633708,-83.1191061,Urban
48485010400,TX,2.326817,1.774364,-2.970981,48485010400,1,Wichita County,Texas,37.2,24655.0,2392,1,33.9211714,-98.4759061,Urban
42007604500,PA,2.191475,1.76957,-2.962954,42007604500,1,Beaver County,Pennsylvania,54.2,,2286,1,40.623713,-80.2512637,Urban
45079010703,SC,2.414923,1.768981,-2.961968,45079010703,1,Richland County,South Carolina,36.8,33766.0,3450,1,34.0653125,-80.9965762,Urban
18089011000,IN,2.396936,1.761973,-2.950234,18089011000,1,Lake County,Indiana,27.1,41023.0,1687,1,41.591605,-87.3847128,Urban
18097351200,IN,2.39796,1.759839,-2.94666,18097351200,1,Marion County,Indiana,49.2,23485.0,2299,1,39.8050931,-86.1745308,Urban
18089011200,IN,2.39406,1.759118,-2.945453,18089011200,1,Lake County,Indiana,27.5,35871.0,4402,1,41.579657,-87.3658452,Urban
22079012000,LA,2.617772,1.755992,-2.940218,22079012000,1,Rapides Parish,Louisiana,51.7,22958.0,1969,1,31.2910518,-92.4475492,Urban
1073002900,AL,2.745521,1.752146,-2.933779,01073002900,1,Jefferson County,Alabama,40.5,36573.0,2064,1,33.5132498,-86.8300472,Urban
37107010200,NC,2.231071,1.749795,-2.929842,37107010200,1,Lenoir County,North Carolina,40.0,32792.0,2545,1,35.2759597,-77.5402883,Urban
22017020700,LA,2.586936,1.749241,-2.928916,22017020700,1,Caddo Parish,Louisiana,28.7,27708.0,1111,1,32.5071878,-93.7705302,Urban
1101001100,AL,2.75281,1.748629,-2.927891,01101001100,1,Montgomery County,Alabama,56.6,25089.0,3569,1,32.3613688,-86.3289447,Urban
6065043812,CA,1.783179,1.746455,-2.92425,06065043812,1,Riverside County,California,5.9,61449.0,5409,1,33.8767216,-116.9530089,Urban
34029731201,NJ,1.928261,1.745764,-2.923094,34029731201,1,Ocean County,New Jersey,9.6,46250.0,4337,1,39.9759437,-74.2709762,Urban
47093002000,TN,2.448201,1.737981,-2.910062,47093002000,1,Knox County,Tennessee,43.9,21542.0,3172,1,35.9860888,-83.8843783,Urban
45041000700,SC,2.365078,1.734092,-2.90355,45041000700,1,Florence County,South Carolina,47.7,25598.0,3019,1,34.1875889,-79.7527189,Urban
34029731204,NJ,1.909438,1.72684,-2.891408,34029731204,1,Ocean County,New Jersey,6.0,58389.0,3626,1,39.9348159,-74.2576656,Urban
48005000500,TX,2.086722,1.719603,-2.87929,48005000500,1,Angelina County,Texas,37.4,31150.0,4006,1,31.3709548,-94.737445,Urban
17163501100,IL,2.092116,1.711934,-2.866449,17163501100,1,St. Clair County,Illinois,23.8,38816.0,1777,1,38.6023821,-90.1353464,Urban
45091060401,SC,2.358398,1.708127,-2.860074,45091060401,1,York County,South Carolina,31.8,32723.0,2648,1,34.9148169,-81.0342626,Urban
34029731205,NJ,1.876857,1.694063,-2.836525,34029731205,1,Ocean County,New Jersey,9.0,53864.0,3013,1,39.9509341,-74.2187303,Urban
20209040400,KS,2.271401,1.68909,-2.828198,20209040400,1,Wyandotte County,Kansas,20.8,36953.0,1887,1,39.1385154,-94.6634958,Urban
13095011400,GA,2.17225,1.67996,-2.812911,13095011400,1,Dougherty County,Georgia,55.3,19375.0,1557,1,31.5761048,-84.1633618,Urban
47157000400,TN,2.411969,1.67714,-2.808189,47157000400,1,Shelby County,Tennessee,43.9,31288.0,1727,1,35.1768576,-90.0145439,Urban
39099813900,OH,2.553231,1.675551,-2.805529,39099813900,1,Mahoning County,Ohio,30.2,34000.0,2150,1,41.0934593,-80.6646305,Urban
21111002700,KY,2.473347,1.673575,-2.802221,21111002700,1,Jefferson County,Kentucky,53.9,15441.0,2985,1,38.2387267,-85.7768858,Urban
18097350800,IN,2.311468,1.673305,-2.801769,18097350800,1,Marion County,Indiana,44.6,20900.0,2000,1,39.8141846,-86.1315781,Urban
39049000730,OH,2.531037,1.673025,-2.801299,39049000730,1,Franklin County,Ohio,53.9,19660.0,3090,1,40.0050784,-82.9736686,Urban
1073000800,AL,2.666292,1.672926,-2.801134,01073000800,1,Jefferson County,Alabama,31.7,31250.0,3859,1,33.5498596,-86.8329901,Urban
5119002800,AR,2.538712,1.670868,-2.797688,05119002800,1,Pulaski County,Arkansas,65.8,11859.0,2356,1,34.7684082,-92.2387932,Urban
34029720103,NJ,1.852766,1.670058,-2.796331,34029720103,1,Ocean County,New Jersey,9.4,58643.0,4812,1,39.9506691,-74.3300255,Urban
39081000800,OH,2.534337,1.663781,-2.785822,39081000800,1,Jefferson County,Ohio,56.9,15365.0,855,1,40.3510994,-80.616947,Urban
39113070300,OH,2.542538,1.659588,-2.778801,39113070300,1,Montgomery County,Ohio,36.8,30288.0,2776,1,39.7759347,-84.2767785,Urban
17163500900,IL,2.036004,1.656046,-2.77287,17163500900,1,St. Clair County,Illinois,49.8,18827.0,3813,1,38.6155473,-90.1477452,Urban
48347950900,TX,2.154284,1.654648,-2.770529,48347950900,1,Nacogdoches County,Texas,56.8,20923.0,2678,1,31.5901457,-94.641822,Urban
48113005902,TX,2.063503,1.654486,-2.770258,48113005902,1,Dallas County,Texas,38.3,30099.0,4101,1,32.6962586,-96.8186963,Urban
48201331200,TX,2.097003,1.65384,-2.769177,48201331200,1,Harris County,Texas,39.1,27692.0,3473,1,29.6635175,-95.3705233,Urban
39155920600,OH,2.552367,1.65293,-2.767654,39155920600,1,Trumbull County,Ohio,51.9,22885.0,3745,1,41.2104501,-80.8330892,Urban
13175950900,GA,2.175797,1.652397,-2.766761,13175950900,1,Laurens County,Georgia,55.4,20560.0,2565,1,32.5293118,-82.8970918,Urban
13245000700,GA,2.20189,1.651758,-2.76569,13245000700,1,Richmond County,Georgia,34.4,37885.0,1231,1,33.4683712,-81.9734142,Urban
1073013002,AL,2.644375,1.651008,-2.764434,01073013002,1,Jefferson County,Alabama,33.8,31974.0,1514,1,33.4660419,-86.8567292,Urban
13185010800,GA,2.17757,1.650524,-2.763625,13185010800,1,Lowndes County,Georgia,48.7,21528.0,5420,1,30.8215323,-83.2496356,Urban
51770002500,VA,2.139676,1.649408,-2.761755,51770002500,1,Roanoke city,Virginia,46.6,29797.0,5641,1,37.2831816,-79.9525348,Urban
55101980000,WI,1.897823,1.647778,-2.759027,55101980000,1,Racine County,Wisconsin,36.7,,727,1,42.6919376,-88.0810921,Urban
4013071802,AZ,1.872172,1.645914,-2.755905,04013071802,1,Maricopa County,Arizona,12.3,44940.0,3302,1,33.5726345,-112.2798313,Urban
17163500400,IL,2.022358,1.642225,-2.749729,17163500400,1,St. Clair County,Illinois,39.1,27177.0,1826,1,38.6303831,-90.1198244,Urban
42003561900,PA,2.061952,1.641541,-2.748584,42003561900,1,Allegheny County,Pennsylvania,31.0,36409.0,2232,1,40.4693587,-79.893087,Urban
22017023500,LA,2.473958,1.636068,-2.739419,22017023500,1,Caddo Parish,Louisiana,37.7,27330.0,3692,1,32.4569056,-93.802965,Urban
5107480500,AR,2.49391,1.630562,-2.730199,05107480500,1,Phillips County,Arkansas,48.2,27212.0,2655,1,34.526705,-90.6575322,Urban
34033022000,NJ,1.813181,1.629078,-2.727715,34033022000,1,Salem County,New Jersey,52.4,18487.0,1805,1,39.5610119,-75.4645882,Urban
17163504500,IL,2.006265,1.626195,-2.722888,17163504500,1,St. Clair County,Illinois,44.8,22941.0,5085,1,38.6267694,-90.1608359,Urban
47065000400,TN,2.325336,1.6261,-2.72273,47065000400,1,Hamilton County,Tennessee,31.9,28897.0,3143,1,35.0490555,-85.2766692,Urban
22027950400,LA,2.467561,1.625609,-2.721908,22027950400,1,Claiborne Parish,Louisiana,46.5,23304.0,3567,1,32.781359,-93.064022,Urban
17163502500,IL,1.999977,1.619942,-2.712418,17163502500,1,St. Clair County,Illinois,33.4,26595.0,1272,1,38.5857898,-90.1164529,Urban
22119031700,LA,2.49368,1.616549,-2.706736,22119031700,1,Webster Parish,Louisiana,42.1,21449.0,3284,1,32.6108125,-93.3041735,Urban
36029003901,NY,1.863145,1.616187,-2.706131,36029003901,1,Erie County,New York,33.5,35781.0,1150,1,42.9333833,-78.8266299,Urban
39099802500,OH,2.489079,1.611426,-2.69816,39099802500,1,Mahoning County,Ohio,48.7,29423.0,1504,1,41.0811582,-80.6786788,Urban
18097350600,IN,2.249084,1.6109,-2.697278,18097350600,1,Marion County,Indiana,31.4,41914.0,4640,1,39.8207012,-86.0962752,Urban
17143005000,IL,1.976964,1.604779,-2.68703,17143005000,1,Peoria County,Illinois,41.1,22455.0,2631,1,40.6864682,-89.614416,Urban
37081011102,NC,2.075767,1.604564,-2.68667,37081011102,1,Guilford County,North Carolina,25.0,42524.0,2602,1,36.0544644,-79.757647,Urban
