TractFIPS,StateAbbr,GEOID,burden,resid,resilience_score
04005000500,AZ,04005000500,-0.824464,-0.34843023712939547,0.6937664281331513
06013308001,CA,06013308001,-0.187618,-0.07860730420906616,0.156516578800959
25021418003,MA,25021418003,-1.052979,-0.334159560447447,0.6653517977892247
18081611100,IN,18081611100,0.640794,0.6905716416486888,-1.3750110356201295
18137968700,IN,18137968700,0.390286,0.09459823789044786,-0.1883564473325938
36061008800,NY,36061008800,-1.489297,-1.0093499716440164,2.0097369571967314
17113000501,IL,17113000501,-0.549984,-0.9209880402017617,1.8337977446166427
36061006000,NY,36061006000,-1.091317,-0.6113699716440164,1.217311003171693
37147000301,NC,37147000301,-0.245761,-0.02061568509079087,0.041048303748805755
45075011800,SC,45075011800,0.961577,0.6839527387331454,-1.361832005373764
48287000400,TX,48287000400,0.558544,0.07017091742554205,-0.13971872000037022
21067004001,KY,21067004001,-0.075798,-0.7166245532267834,1.4268855099967355
27067780600,MN,27067780600,-0.164735,0.45920737616114815,-0.9143370097739396
42085030900,PA,42085030900,1.448235,1.0939617619210193,-2.178209188545092
48113007818,TX,48113007818,-0.093562,-0.43015624847786027,0.8564927272222219
05133080200,AR,05133080200,0.601673,0.0771630582740348,-0.15364091177519387
06013308002,CA,06013308002,-0.682113,0.03328152127007333,-0.06626750400483056
06071001600,CA,06071001600,0.196204,0.30521469579093385,-0.6077190976797644
34005700603,NJ,34005700603,-0.23127,0.2942641728290971,-0.5859152919480528
36081058000,NY,36081058000,0.359972,0.8399190283559838,-1.6723796104044768
39035112400,OH,39035112400,1.624938,0.8588104008487293,-1.7099946007818985
45045002506,SC,45045002506,-0.021614,0.046227142491386396,-0.09204378986529035
49049002702,UT,49049002702,-1.431642,-0.6084445906285147,1.211486218403374
06037532101,CA,06037532101,-0.370811,-0.26180030420906614,0.5212758325215199
36029009600,NY,36029009600,0.229454,0.7094010283559837,-1.4125026048578666
39049005610,OH,39049005610,0.995192,0.22906440084872925,-0.456094719271642
49035113410,UT,49035113410,-0.1323,0.08451358389234581,-0.16827669064768894
20111000800,KS,20111000800,0.363354,0.13612171653624933,-0.2710346778475381
24017850901,MD,24017850901,0.542374,0.2958177596187794,-0.5890086697408431
04015951502,AZ,04015951502,0.838277,0.9688453591123636,-1.9290874114210403
06045011102,CA,06045011102,0.089874,-0.1465807079673071,0.29185978529739903
54089000500,WV,54089000500,1.735481,0.2904689902321269,-0.5783586278189424
27047180100,MN,27047180100,0.021212,0.29968897240290715,-0.5967167190993444
06067009007,CA,06067009007,-0.261195,-0.15218430420906615,0.30301721807755644
49057200300,UT,49057200300,-0.410874,-0.345839250204252,0.6886074621398269
06029003807,CA,06029003807,-0.500795,0.2145995212700733,-0.4272934076480083
39143960900,OH,39143960900,0.456422,-0.0487871774303722,0.097141126738659
06037197300,CA,06037197300,-0.935679,-0.22028447872992674,0.4386128403800956
06111007514,CA,06111007514,-0.707836,0.007558521270073282,-0.015049923183216154
08059011725,CO,08059011725,-0.879574,0.16636717709099347,-0.3312570205155611
39135440100,OH,39135440100,0.488374,-0.016835177430372217,0.03352085917996758
42045401401,PA,42045401401,-0.685732,-0.433621412599841,0.863392284951791
48339691602,TX,48339691602,-0.191943,-0.5285372484778602,1.0523811080025054
01057020000,AL,01057020000,0.853128,-0.3458835846709315,0.6886957373849516
17031390700,IL,17031390700,-0.308167,0.07899161937397553,-0.15728179642797444
23011015500,ME,23011015500,0.024595,0.09333970436652475,-0.18585055601049905
54003971900,WV,54003971900,0.128861,-0.7097671842887336,1.413231665273795
05083950500,AR,05083950500,1.255418,0.31821080245653843,-0.6335959061201455
17005951200,IL,17005951200,0.338507,0.3802002156157346,-0.7570242690080501
26115833300,MI,26115833300,0.206182,0.348214130021572,-0.6933361329397029
35035000306,NM,35035000306,0.129605,0.4826658491844211,-0.9610456455481938
18057111003,IN,18057111003,-0.239736,-0.1899583583513112,0.3782298943202369
17031823705,IL,17031823705,-0.233944,-0.453169206105164,0.902314288362867
24510090700,MD,24510090700,0.950972,0.7044157596187794,-1.4025763363640973
37195000501,NC,37195000501,0.104545,0.32969031490920914,-0.6564529934286782
47163043302,TN,47163043302,0.692722,-0.08317361398670953,0.1656086497138765
55079050101,WI,55079050101,-0.262918,0.1557077059729549,-0.310032733943085
26121003600,MI,26121003600,-0.112469,-0.31590227373666896,0.6289993483201637
39035120701,OH,39035120701,1.947296,1.1811684008487293,-2.35184807504594
40023967000,OK,40023967000,0.868381,0.3943778678975287,-0.7852536766045021
42007601800,PA,42007601800,0.134459,0.386569587400159,-0.7697064528183237
08001008537,CO,08001008537,-0.975795,0.07014617709099347,-0.13966945902442282
40031002004,OK,40031002004,0.131266,-0.34273713210247125,0.6824307726169817
44009050801,RI,44009050801,-0.142539,0.3197917560613195,-0.6367437745269446
06037501200,CA,06037501200,-0.583097,0.13229752127007333,-0.2634202460113213
06095252104,CA,06095252104,-0.788256,-0.07286147872992665,0.14507595053579872
51810044807,VA,51810044807,-0.705636,-0.912811006846417,1.8175162896246742
54039000800,WV,54039000800,1.490526,0.39097939399036785,-0.7784869070982176
28121020206,MS,28121020206,-0.186062,-0.4777101450726969,0.9511782437727305
42013101100,PA,42013101100,0.201118,0.45322858740015903,-0.9024325236494083
06059021810,CA,06059021810,-0.61697,0.09842452127007328,-0.19597503685334816
06085503208,CA,06085503208,-0.878532,-0.7695213042090662,1.5322092909956808
29510114300,MO,29510114300,-0.789619,-0.7222511183254997,1.4380886765283054
42095014500,PA,42095014500,0.046859,-0.3074142380789805,0.6120986504111171
27127750400,MN,27127750400,0.236781,0.5152579724029072,-1.0259404752760959
10003014000,DE,10003014000,-0.242061,-0.8445167321986936,1.6815341906695251
32003005842,NV,32003005842,-0.66884,-0.2905464408452612,0.5785128412869629
36005028700,NY,36005028700,-0.459804,-0.5862407971231558,1.1672758001626105
04013082026,AZ,04013082026,-0.916511,-0.44047723712939546,0.8770430545720244
01117030305,AL,01117030305,-0.224168,-0.47133035543355106,0.9384753167631341
17031150402,IL,17031150402,-0.641729,-0.25457038062602444,0.5068801867784677
19153004501,IA,19153004501,0.085174,-0.2344937329676177,0.4669051712642772
23011018000,ME,23011018000,0.014337,0.08308170436652475,-0.165425646627141
36111950900,NY,36111950900,0.105123,0.23960462459774276,-0.4770815700177835
42079210100,PA,42079210100,-0.002713,0.24939758740015902,-0.4965805345170961
45083021803,SC,45083021803,-0.140644,-0.0728028575086136,0.14495922864719848
17163501200,IL,17163501200,2.324824,2.105598793894836,-4.192499957400084
25009211100,MA,25009211100,-0.139099,0.5797204395525531,-1.1542929855275303
17031710400,IL,17031710400,0.924516,0.7052907938948361,-1.4043186346479526
22071007200,LA,22071007200,1.045204,0.31553620428612417,-0.6282704601006869
25003900900,MA,25003900900,-0.398227,-0.4375702200231842,0.8712548345515294
40131050702,OK,40131050702,0.748192,0.2741888678975287,-0.5459429499641801
06059075806,CA,06059075806,-0.435444,0.2799505212700733,-0.5574150934651104
09001205200,CT,09001205200,-0.806633,-0.2689309747925016,0.5354738536279
13001950200,GA,13001950200,1.067478,0.5355343981551721,-1.0663132729567744
25017384002,MA,25017384002,-1.152111,-0.433291560447447,0.862735509720503
29099700801,MO,29099700801,0.099294,-0.591500777901237,1.1777490533065482
47187050207,TN,47187050207,-0.6909,-0.7086329544109722,1.410973277432776
22105953200,LA,22105953200,0.466742,-0.002007373992977346,0.003996922587743415
25023511302,MA,25023511302,-0.175056,-0.21439922002318418,0.4268945838210358
29225470302,MO,29225470302,0.871906,-0.012575347562880257,0.02503902655839949
48201432200,TX,48201432200,-0.368495,-0.7050892484778603,1.4039173335289858
51165010200,VA,51165010200,0.348035,-0.010918840943014763,0.021740723029087198
06107001005,CA,06107001005,-0.169048,0.5463465212700733,-1.0878415079795436
36085027702,NY,36085027702,-0.078565,0.40138202835598374,-0.7991998008656099
17031051200,IL,17031051200,-1.662058,-1.2748993806260245,2.5384777073684806
17031020301,IL,17031020301,0.043263,0.43042161937397555,-0.8570211125318471
42129800500,PA,42129800500,0.223124,0.475234587400159,-0.9462491112776181
01101002202,AL,01101002202,1.728308,0.8747618190873094,-1.7417557893234312
06065030103,CA,06065030103,0.000576,0.10958669579093384,-0.2182002662459983
39035119702,OH,39035119702,1.624897,0.8587694008487293,-1.7099129648602063
48113006402,TX,48113006402,0.123734,-0.21286024847786023,0.42383030673419547
13021011702,GA,13021011702,1.719308,1.1873643981551723,-2.36418504945846
48439111102,TX,48439111102,1.153371,0.6649979174255419,-1.3240906807894837
48303000900,TX,48303000900,1.851868,1.363494917425542,-2.7148820562571636
06019007002,CA,06019007002,0.299347,0.40835769579093384,-0.8130891920965806
09009142604,CT,09009142604,-0.188361,-0.257042800271641,0.511803071085287
53061051804,WA,53061051804,-0.991877,-0.2539728891052082,0.505690509436881
06037430803,CA,06037430803,-0.702091,0.013303521270073282,-0.026488907820318132
06085507500,CA,06085507500,-0.858557,-0.1431624787299267,0.28505368055719243
08059011724,CO,08059011724,-1.182596,-0.13665482290900655,0.2720961566304643
36033950400,NY,36033950400,0.434211,-0.037691200881396714,0.07504770545452072
39139000600,OH,39139000600,1.210942,0.44481440084872925,-0.8856788681758634
09003514400,CT,09003514400,-0.214202,-0.43466263436823876,0.8654654824822555
27053026909,MN,27053026909,-1.034379,-0.4104366238388518,0.8172285873971505
45035010200,SC,45035010200,1.449659,0.565650913254006,-1.1262788697433035
48085031100,TX,48085031100,0.084264,0.008588173243038288,-0.01710008386212102
48201433202,TX,48201433202,0.547878,0.21128375152213974,-0.4206913120506577
48381020300,TX,48381020300,0.135244,-0.20135024847786023,0.4009125150591661
53005010400,WA,53005010400,-0.283524,-0.3037825486809455,0.6048675208670182
21047200400,KY,21047200400,1.653812,1.0129854467732167,-2.016975624586024
36047003800,NY,36047003800,-0.69922,-0.2192729716440162,0.4365988083494516
34027041200,NJ,34027041200,-0.84056,-0.3150258271709029,0.6272542379979636
