TractFIPS,StateAbbr,burden,resid,resilience_score,GEOID
04005000500,AZ,-0.824464,-0.531421,0.889806,04005000500
06013308001,CA,-0.187618,0.311808,-0.522089,06013308001
25021418003,MA,-1.052979,-0.503764,0.843498,25021418003
18081611100,IN,0.640794,0.524752,-0.878641,18081611100
18137968700,IN,0.390286,-0.069034,0.115589,18137968700
36061008800,NY,-1.489297,-1.232508,2.063702,36061008800
17113000501,IL,-0.549984,-0.910661,1.524804,17113000501
36061006000,NY,-1.091317,-0.834821,1.397818,36061006000
37147000301,NC,-0.245761,-0.226395,0.379075,37147000301
45075011800,SC,0.961577,0.512112,-0.857476,45075011800
48287000400,TX,0.558544,0.082296,-0.137796,48287000400
17113001600,IL,0.323810,0.479435,-0.802763,17113001600
21067004001,KY,-0.075798,-0.342499,0.573478,21067004001
27067780600,MN,-0.164735,0.287759,-0.481821,27067780600
42085030900,PA,1.448235,1.512455,-2.532443,42085030900
48113007818,TX,-0.093562,0.013642,-0.022842,48113007818
05133080200,AR,0.601673,-0.076818,0.128624,05133080200
06013308002,CA,-0.682113,-0.182700,0.305912,06013308002
06071001600,CA,0.196204,0.673333,-1.127423,06071001600
34005700603,NJ,-0.231270,0.111762,-0.187134,34005700603
36081058000,NY,0.359972,0.608992,-1.019691,36081058000
39035112400,OH,1.624938,1.288497,-2.157449,39035112400
45045002506,SC,-0.021614,-0.138058,0.231164,45045002506
49049002702,UT,-1.431642,-0.737658,1.235129,49049002702
06037532101,CA,-0.370811,0.119281,-0.199723,06037532101
36029009600,NY,0.229454,0.498304,-0.834356,36029009600
39049005610,OH,0.995192,0.653218,-1.093742,39049005610
49035113410,UT,-0.132300,0.567141,-0.949617,49035113410
20111000800,KS,0.363354,0.013682,-0.022909,20111000800
24017850901,MD,0.542374,0.718153,-1.202470,24017850901
04015951502,AZ,0.838277,0.805658,-1.348987,04015951502
06045011102,CA,0.089874,0.255650,-0.428058,06045011102
54089000500,WV,1.735481,0.715625,-1.198236,54089000500
27047180100,MN,0.021212,0.160719,-0.269106,27047180100
06067009007,CA,-0.261195,0.217502,-0.364183,06067009007
49057200300,UT,-0.410874,-0.236044,0.395230,49057200300
06029003807,CA,-0.500795,-0.007412,0.012411,06029003807
39143960900,OH,0.456422,-0.243327,0.407424,39143960900
06037197300,CA,-0.935679,-0.445455,0.745866,06037197300
06111007514,CA,-0.707836,-0.246163,0.412173,06111007514
08059011725,CO,-0.879574,-0.014247,0.023855,08059011725
39135440100,OH,0.488374,-0.208074,0.348397,39135440100
42045401401,PA,-0.685732,-0.606049,1.014764,42045401401
48339691602,TX,-0.191943,-0.172413,0.288687,48339691602
01057020000,AL,0.853128,0.060692,-0.101622,01057020000
17031390700,IL,-0.308167,-0.121139,0.202834,17031390700
23011015500,ME,0.024595,-0.067734,0.113413,23011015500
54003971900,WV,0.128861,-0.858009,1.436643,54003971900
05083950500,AR,1.255418,0.401106,-0.671608,05083950500
17005951200,IL,0.338507,0.213950,-0.358235,17005951200
26115833300,MI,0.206182,0.142161,-0.238034,26115833300
35035000306,NM,0.129605,0.292511,-0.489779,35035000306
18057111003,IN,-0.239736,-0.346254,0.579765,18057111003
17031823705,IL,-0.233944,-0.047017,0.078725,17031823705
24510090700,MD,0.950972,0.936463,-1.568005,24510090700
