Tract,County,State,Institution,Resilience
28071950301,Lafayette County,Mississippi,Ole Miss,4.189
26161402200,Washtenaw County,Michigan,University of Michigan,4.083
18157005500,Tippecanoe County,Indiana,Purdue,3.987
36109000400,Tompkins County,New York,Cornell,3.97
36109001200,Tompkins County,New York,Cornell,3.877
18157005400,Tippecanoe County,Indiana,Purdue,3.866
26161415200,Washtenaw County,Michigan,University of Michigan,3.592
20161000303,Riley County,Kansas,Kansas State,3.59
18157010300,Tippecanoe County,Indiana,Purdue,3.586
20161001002,Riley County,Kansas,Kansas State,3.583
1081040604,Lee County,Alabama,Auburn,3.518
13059000402,Clarke County,Georgia,University of Georgia,3.404
48041002012,Brazos County,Texas,Texas A&M,3.37
13059150400,Clarke County,Georgia,University of Georgia,3.336
19169000500,Story County,Iowa,Iowa State,3.288
48041001701,Brazos County,Texas,Texas A&M,3.259
18157010500,Tippecanoe County,Indiana,Purdue,3.253
19169000800,Story County,Iowa,Iowa State,3.102
13059150500,Clarke County,Georgia,University of Georgia,2.954
13059000100,Clarke County,Georgia,University of Georgia,2.909
20161001100,Riley County,Kansas,Kansas State,2.893
28071950202,Lafayette County,Mississippi,Ole Miss,2.883
19169001100,Story County,Iowa,Iowa State,2.883
18157010204,Tippecanoe County,Indiana,Purdue,2.873
19169001301,Story County,Iowa,Iowa State,2.832
20161000304,Riley County,Kansas,Kansas State,2.812
26161403600,Washtenaw County,Michigan,University of Michigan,2.811
20161000500,Riley County,Kansas,Kansas State,2.791
1081040902,Lee County,Alabama,Auburn,2.778
48041001605,Brazos County,Texas,Texas A&M,2.774
1081040200,Lee County,Alabama,Auburn,2.753
28105950400,Oktibbeha County,Mississippi,Mississippi State,2.722
48041001301,Brazos County,Texas,Texas A&M,2.713
1081040400,Lee County,Alabama,Auburn,2.701
1081040300,Lee County,Alabama,Auburn,2.687
42027011300,Centre County,Pennsylvania,Penn State,2.671
45075011200,Orangeburg County,South Carolina,UNC Chapel Hill,2.655
26161411200,Washtenaw County,Michigan,University of Michigan,2.638
48041001604,Brazos County,Texas,Texas A&M,2.629
1081040603,Lee County,Alabama,Auburn,2.625
18157005300,Tippecanoe County,Indiana,Purdue,2.569
26161412600,Washtenaw County,Michigan,University of Michigan,2.478
36109001300,Tompkins County,New York,Cornell,2.421
42027011502,Centre County,Pennsylvania,Penn State,2.31
13059000600,Clarke County,Georgia,University of Georgia,2.297
13059001900,Clarke County,Georgia,University of Georgia,2.268
48041001302,Brazos County,Texas,Texas A&M,2.247
26161405600,Washtenaw County,Michigan,University of Michigan,2.153
26161465000,Washtenaw County,Michigan,University of Michigan,2.134
18157010203,Tippecanoe County,Indiana,Purdue,2.109
36109001100,Tompkins County,New York,Cornell,2.081
28105950100,Oktibbeha County,Mississippi,Mississippi State,2.078
13059150600,Clarke County,Georgia,University of Georgia,2.063
28071950201,Lafayette County,Mississippi,Ole Miss,2.029
28105950602,Oktibbeha County,Mississippi,Mississippi State,2.024
1081040602,Lee County,Alabama,Auburn,1.966
55025001502,Dane County,Wisconsin,UW Madison,1.921
26161405100,Washtenaw County,Michigan,University of Michigan,1.881
18157005200,Tippecanoe County,Indiana,Purdue,1.791
55025002602,Dane County,Wisconsin,UW Madison,1.68
48041002013,Brazos County,Texas,Texas A&M,1.624
48041001601,Brazos County,Texas,Texas A&M,1.592
55025000407,Dane County,Wisconsin,UW Madison,1.521
18157000400,Tippecanoe County,Indiana,Purdue,1.496
18157011100,Tippecanoe County,Indiana,Purdue,1.492
22055000602,Lafayette Parish,Louisiana,Ole Miss,1.373
36071000100,Orange County,New York,UNC Chapel Hill,1.355
6059076102,Orange County,California,UNC Chapel Hill,1.347
13059150300,Clarke County,Georgia,University of Georgia,1.334
48041002014,Brazos County,Texas,Texas A&M,1.323
1081041700,Lee County,Alabama,Auburn,1.291
42027011100,Centre County,Pennsylvania,Penn State,1.281
22055001903,Lafayette Parish,Louisiana,Ole Miss,1.257
22055001902,Lafayette Parish,Louisiana,Ole Miss,1.249
18157000100,Tippecanoe County,Indiana,Purdue,1.226
26161412000,Washtenaw County,Michigan,University of Michigan,1.2
26161411700,Washtenaw County,Michigan,University of Michigan,1.16
1081041100,Lee County,Alabama,Auburn,1.128
13059130600,Clarke County,Georgia,University of Georgia,1.12
