Tract,County,State,Base,Resilience
37133000800,Onslow County,North Carolina,Camp Lejeune,3.861
37051003407,Cumberland County,North Carolina,Fort Bragg,3.762
37133001000,Onslow County,North Carolina,Camp Lejeune,3.655
37133000900,Onslow County,North Carolina,Camp Lejeune,3.579
48141010102,El Paso County,Texas,Fort Bliss,3.346
13179010103,Liberty County,Georgia,Fort Stewart,3.273
51710000902,Norfolk city,Virginia,Naval Station Norfolk,3.222
40031002403,Comanche County,Oklahoma,Fort Sill,3.19
48027023204,Bell County,Texas,Fort Hood,3.162
37051003405,Cumberland County,North Carolina,Fort Bragg,3.083
21047201502,Christian County,Kentucky,Fort Campbell,3.026
6073008339,San Diego County,California,Multiple bases,2.955
37051003408,Cumberland County,North Carolina,Fort Bragg,2.906
51710000901,Norfolk city,Virginia,Naval Station Norfolk,2.894
21047201501,Christian County,Kentucky,Fort Campbell,2.883
37051003401,Cumberland County,North Carolina,Fort Bragg,2.848
13179010101,Liberty County,Georgia,Fort Stewart,2.817
37051003403,Cumberland County,North Carolina,Fort Bragg,2.815
37133000700,Onslow County,North Carolina,Camp Lejeune,2.773
48027023202,Bell County,Texas,Fort Hood,2.716
53053072901,Pierce County,Washington,Joint Base Lewis-McChord,2.673
42041013102,Cumberland County,Pennsylvania,Fort Bragg,2.668
21047201302,Christian County,Kentucky,Fort Campbell,2.546
51710002600,Norfolk city,Virginia,Naval Station Norfolk,2.51
8041003801,El Paso County,Colorado,Fort Bliss,2.326
51710002500,Norfolk city,Virginia,Naval Station Norfolk,2.24
8041004401,El Paso County,Colorado,Fort Bliss,2.122
6073009107,San Diego County,California,Multiple bases,2.121
6073009201,San Diego County,California,Multiple bases,2.08
48141001111,El Paso County,Texas,Fort Bliss,1.955
6073008902,San Diego County,California,Multiple bases,1.95
53053072905,Pierce County,Washington,Joint Base Lewis-McChord,1.94
53053072907,Pierce County,Washington,Joint Base Lewis-McChord,1.864
42041012300,Cumberland County,Pennsylvania,Fort Bragg,1.812
6073009603,San Diego County,California,Multiple bases,1.727
8041001600,El Paso County,Colorado,Fort Bliss,1.66
13179010208,Liberty County,Georgia,Fort Stewart,1.623
23005003100,Cumberland County,Maine,Fort Bragg,1.547
6073020021,San Diego County,California,Multiple bases,1.51
6073003201,San Diego County,California,Multiple bases,1.5
51710000800,Norfolk city,Virginia,Naval Station Norfolk,1.441
42041010100,Cumberland County,Pennsylvania,Fort Bragg,1.424
29043020204,Christian County,Missouri,Fort Campbell,1.409
23005003000,Cumberland County,Maine,Fort Bragg,1.386
37133002400,Onslow County,North Carolina,Camp Lejeune,1.346
6073018609,San Diego County,California,Multiple bases,1.319
8041004511,El Paso County,Colorado,Fort Bliss,1.281
37133001102,Onslow County,North Carolina,Camp Lejeune,1.277
37133002202,Onslow County,North Carolina,Camp Lejeune,1.27
48027021201,Bell County,Texas,Fort Hood,1.258
51710000201,Norfolk city,Virginia,Naval Station Norfolk,1.246
48141010345,El Paso County,Texas,Fort Bliss,1.218
48027023107,Bell County,Texas,Fort Hood,1.19
6073018610,San Diego County,California,Multiple bases,1.136
21093001100,Hardin County,Kentucky,Fort Knox,1.131
