StateAbbr,mean_change,std_change,n_changed,n_tracts
DC,0.0999625128204995,0.4389656103913724,20,156
ND,0.08877740526316552,0.43836239649221354,9,190
AK,0.08159739189204618,0.38371841521664335,2,148
VT,0.07535080239524511,0.433049558503254,2,167
RI,0.07227269058296606,0.5098979153147042,10,223
WV,0.06722922321432881,0.49448291604809486,21,448
SD,0.0584406111110812,0.42081073198647473,6,198
MA,0.05663274537379088,0.4861512870362417,63,1351
HI,0.055088847222177044,0.4707629729072081,6,288
SC,0.053269209693365745,0.4565251969789873,52,1011
MO,0.050847212538198024,0.4358084322131504,78,1308
NE,0.04969008000002815,0.47042705301432824,20,500
WY,0.04890322950821909,0.4133418902511787,7,122
NH,0.048557069597092856,0.44843371166117424,3,273
TN,0.048223573162041886,0.45156375255438636,56,1401
MS,0.04641946798045969,0.42145573615400117,34,609
VA,0.044854527761924924,0.5014657622040322,134,1747
WI,0.04473854836256453,0.4528094857293678,49,1313
UT,0.044144572192527626,0.47174011141461847,24,561
PA,0.041561899594391445,0.4733151549739202,122,2958
NM,0.04115127931773057,0.4535471863942428,17,469
AR,0.04044442546572706,0.40182017155433125,30,644
IA,0.03982054758799147,0.4282895686623188,20,767
ID,0.03931995053003634,0.45490296973841693,12,283
DE,0.036740009756150944,0.48356335128836436,9,205
NC,0.03454192118216665,0.4639108054747617,128,2030
MT,0.033941080645171796,0.4531248720334332,9,248
IN,0.03162654545442058,0.4232880235273692,63,1419
KS,0.031008666666685867,0.4394305103301744,45,714
ME,0.03099747272733914,0.48016843202494613,11,330
OR,0.03094726302416216,0.48275152073524086,41,787
NY,0.02981728906081777,0.5330974926323939,245,4525
KY,0.029750925961488064,0.48262596928012547,38,1040
OK,0.027976993852375957,0.45869825298971734,33,976
TX,0.027336319209074974,0.472935803268028,374,4956
CT,0.026321851282080356,0.4611061409569387,40,780
CO,0.024440808277027597,0.4721092740039727,45,1184
LA,0.023733774688352943,0.4362918123652061,79,1043
AZ,0.02103182208589066,0.47875266975114905,89,1467
WA,0.02094688469910373,0.47584857793053265,53,1379
MN,0.02038313286164977,0.4675212518425842,43,1272
AL,0.017613252488674156,0.454481747942329,58,1105
GA,0.01735270136988411,0.44951881301972635,131,1825
MD,0.0162668802710521,0.4758760596244217,88,1328
OH,0.01578414982085083,0.443734196979308,125,2790
CA,0.009967918663398845,0.5157789867874177,381,7721
MI,0.008081967643610811,0.4406732484126991,142,2627
NJ,0.007332952953481154,0.48128349565922407,85,1913
IL,0.007032879473273788,0.4867236277799657,207,2962
NV,-0.010656661094235425,0.4779339791749307,32,658
