TractFIPS,StateAbbr,GEOID,burden,resid,resilience_score,CensusTract,State,County,Urban,Pop2010,LILATracts_1And10,PCTGQTRS,PovertyRate
40109102700,OK,40109102700,-1.886879,-2.6218005538233697,5.220319626933157,40109102700,Oklahoma,Oklahoma County,1,130,0,0.0,16.0
22115950703,LA,22115950703,-1.528458,-2.4099046298104736,4.79840940596744,22115950703,Louisiana,Vernon Parish,1,2864,1,0.0,4.9
45015020725,SC,45015020725,-1.706148,-2.396469517084351,4.771658483761722,45015020725,South Carolina,Berkeley County,1,1055,1,0.0,6.6
39049006352,OH,39049006352,-1.627758,-2.393885599151271,4.766513592980166,39049006352,Ohio,Franklin County,1,2985,0,0.0,24.8
37133000800,NC,37133000800,-1.814921,-2.3479383446665283,4.675027093734215,37133000800,North Carolina,Onslow County,1,1121,1,0.0,5.0
37049961201,NC,37049961201,-1.723533,-2.256550344666528,4.49306261540254,37049961201,North Carolina,Craven County,1,4095,1,0.0,8.8
39049001200,OH,39049001200,-1.470247,-2.236374599151271,4.452890284159527,39049001200,Ohio,Franklin County,1,4822,0,6.41,65.7
01081040800,AL,01081040800,-1.376254,-2.2298001809126906,4.439799828244992,01081040800,Alabama,Lee County,1,3750,0,3.6,73.1
42101008702,PA,42101008702,-1.848344,-2.2026172380789806,4.385675325988068,42101008702,Pennsylvania,Philadelphia County,1,3036,0,6.75,31.8
26161415200,MI,26161415200,-1.547385,-2.1635155295541653,4.30781913049637,26161415200,Michigan,Washtenaw County,1,1746,1,0.0,12.1
39049007830,OH,39049007830,-1.38116,-2.1472875991512708,4.275507373042816,39049007830,Ohio,Franklin County,1,2719,0,0.18,24.2
39049001000,OH,39049001000,-1.364849,-2.130976599151271,4.243030214049645,39049001000,Ohio,Franklin County,1,5830,0,0.02,39.5
48041002012,TX,48041002012,-1.631875,-2.120248082574458,4.221668449680444,48041002012,Texas,Brazos County,1,6466,1,0.0,71.9
26161400800,MI,26161400800,-1.654895,-2.1192466954575675,4.219674567722933,26161400800,Michigan,Washtenaw County,1,2500,0,3.32,61.3
01081040604,AL,01081040604,-1.104621,-2.1099460150092884,4.201155796484907,01081040604,Alabama,Lee County,1,5146,1,0.0,52.8
45013000300,SC,45013000300,-1.41511,-2.1054315170843507,4.192166889190287,45013000300,South Carolina,Beaufort County,1,4850,1,0.0,6.4
26161402600,MI,26161402600,-1.631215,-2.095566695457568,4.172524845145636,26161402600,Michigan,Washtenaw County,1,2298,0,0.0,26.3
32001950400,NV,32001950400,-1.510667,-2.0842226700826414,4.149937528872933,32001950400,Nevada,Churchill County,0,711,0,0.0,2.9
