TractFIPS,CurrentYear,StateAbbr,CountyFIPS,Population,CHBI_current,CHBI_zscore_current,CHBI_change_1yr,CHBI_change_3yr,CHBI_slope,CHBI_acceleration,years_observed,trajectory_class
01001020100,2025,AL,01001,1775,22.7,0.56368076723271,0.0,0.09117177221624312,0.06873367553946862,-0.34100599714039503,6,STABLE
01001020200,2025,AL,01001,2055,25.08,1.1184991848795582,0.0,-0.09960882479213584,-0.004486140547115134,-0.09789634245376622,6,STABLE
01001020300,2025,AL,01001,3216,23.52,0.7548366926404477,0.0,0.11287337611142934,0.03997826417159688,-0.08560933440095342,6,STABLE
01001020400,2025,AL,01001,4246,21.58,0.3025897471636046,0.0,0.21498413958279083,0.05748824687867628,-0.029031230948363747,6,STABLE
01001020500,2023,AL,01001,10766,19.09,-0.05035913483128055,0.03148957910045721,0.13742753648749645,0.04342690332846359,-0.05246195446431794,4,STABLE
01001020501,2025,AL,01001,4322,18.86,-0.33148844443279335,0.0,,0.0,0,2,STABLE
01001020502,2025,AL,01001,3284,19.69,-0.13800134920300966,0.0,,0.0,0,2,STABLE
01001020503,2025,AL,01001,3616,21.14,0.20001827499359953,0.0,,0.0,0,2,STABLE
01001020600,2025,AL,01001,3729,22.98,0.6289535222499866,0.0,-0.47295723838452897,-0.08721956231484433,-0.16611502077620732,6,STABLE
01001020700,2025,AL,01001,3409,24.09,0.887713372497046,0.0,-0.34249851728268765,-0.10687009630907726,0.11970867112840766,6,STABLE
01001020801,2025,AL,01001,3143,21.66,0.32123910573996967,0.0,0.19732185783503803,0.06668780914050806,-0.11046509519321948,6,STABLE
01001020802,2023,AL,01001,10435,21.37,0.49201985016124145,0.053401719447285056,0.26689000977262733,0.07988107303199285,-0.16194586987536794,4,STABLE
01001020803,2025,AL,01001,4635,25.99,1.3306356386857061,0.0,,0.0,0,2,STABLE
01001020804,2025,AL,01001,6064,17.6,-0.6252158420105363,0.0,,-9.094947017729282e-13,0,2,STABLE
01001020805,2025,AL,01001,3122,20.48,0.046161066738591106,0.0,,0.0,0,2,STABLE
01001020900,2023,AL,01001,5675,20.38,0.25651318562501446,0.03576489685576703,0.0640434083093015,0.01993910057371977,0.01474716621168673,4,STABLE
01001020901,2025,AL,01001,3268,21.71,0.33289495485019777,0.0,,0.0,0,2,STABLE
01001020902,2025,AL,01001,3091,22.21,0.4494534459524768,0.0,,0.0,0,2,STABLE
01001021000,2025,AL,01001,2645,25.84,1.2956680913550227,0.0,0.3026922516928616,0.06881428680873276,-0.008312326543970516,6,STABLE
01001021100,2025,AL,01001,3185,29.86,2.2327983598173464,0.0,0.2327796951663066,0.05538934459078259,-0.045332634855889564,6,STABLE
01003010100,2025,AL,01003,3745,25.64,1.2490446949141114,0.0,0.40131541654842273,0.11297521353491383,0.13874469477457207,6,STABLE
01003010200,2025,AL,01003,3000,21.91,0.3795183512911092,0.0,-0.652189904716778,-0.1200078497124542,0.02608163173497413,6,STABLE
01003010300,2025,AL,01003,8380,22.76,0.577667786164984,0.0,0.2746131126610687,0.09449859481004144,0.04395299841054337,6,STABLE
01003010400,2025,AL,01003,5722,24.51,0.9856225050229608,0.0,0.6704639514110067,0.2106929822698086,-0.1541572241509766,6,STABLE
01003010500,2025,AL,01003,4850,23.08,0.6522652204704419,0.0,0.32258201072883996,0.10402550698816498,0.05348410048347407,6,STABLE
01003010600,2025,AL,01003,3234,32.08,2.7503180603114656,0.0,0.9221744931945857,0.29939188516998133,-0.3416857062368024,6,STABLE
01003010701,2023,AL,01003,7882,18.73,-0.1359979219353628,0.18792839415716311,0.455373814498548,0.15235747268461636,0.07793625716592956,4,STABLE
01003010703,2023,AL,01003,13166,17.93,-0.3263063377222127,0.2009651641853752,0.5776688595523218,0.1897891032103871,-0.010854077734399337,4,STABLE
01003010704,2025,AL,01003,5307,18.5,-0.4154105580264342,0.0,-0.7765638560489383,-0.08506525972271405,-0.3917929910758079,6,STABLE
01003010705,2023,AL,01003,8331,19.64,0.0804779010221788,0.23252911958054578,0.3989048246325603,0.13615909726968312,0.23102991332759,4,STABLE
