Census Tract,County,State,Resilience Score,Health Burden,Poverty Rate (%),Median Income ($),Population
47149041500,Rutherford County,Tennessee,4.75,-2.11,35.7,,2966
45077011202,Pickens County,South Carolina,4.41,-1.99,48.6,84250.0,5694
45013001000,Beaufort County,South Carolina,4.32,-1.96,1.1,52721.0,4469
26107981300,Mecosta County,Michigan,4.24,-1.95,100.0,,2216
21227010400,Warren County,Kentucky,4.22,-1.67,48.3,135000.0,4822
26125192800,Oakland County,Michigan,4.19,-1.92,27.7,96563.0,2200
28071950301,Lafayette County,Mississippi,4.19,-1.49,60.8,34728.0,5801
48451001500,Tom Green County,Texas,4.14,-1.93,0.0,44722.0,2249
26161402200,Washtenaw County,Michigan,4.08,-1.84,64.7,39500.0,4749
18003980001,Allen County,Indiana,4.05,-1.82,43.8,,664
22115950703,Vernon Parish,Louisiana,4.03,-1.53,4.9,36188.0,2864
6085511608,Santa Clara County,California,4.01,-2.35,29.3,,2687
21151010500,Madison County,Kentucky,3.99,-1.57,69.0,,4182
18157005500,Tippecanoe County,Indiana,3.99,-1.72,78.2,6932.0,4486
45019003200,Charleston County,South Carolina,3.97,-1.75,9.5,47857.0,871
36109000400,Tompkins County,New York,3.97,-2.09,30.4,41563.0,4162
18105000201,Monroe County,Indiana,3.97,-1.73,67.1,20156.0,6924
48453000601,Travis County,Texas,3.94,-1.81,65.3,45156.0,9207
29101980000,Johnson County,Missouri,3.91,-1.73,5.6,48199.0,1410
45015020725,Berkeley County,South Carolina,3.9,-1.71,6.6,45795.0,1055
